epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8477,1.57383,3.64569,1.14291,0.01004,0.36688,0.01742,0.00698,1.59925,3.53847,1.04795,0.00010002,0.00010002,0.00010002
2,61.9668,1.58793,3.32565,1.06294,0.01558,0.55519,0.1906,0.1101,1.61194,3.46422,1.0185,0.000173801,0.000173801,0.000173801
3,94.2561,1.58855,2.82035,1.05159,0.01453,0.47403,0.3545,0.19321,1.56526,3.36453,0.99019,0.000201374,0.000201374,0.000201374
4,129.878,1.63792,2.29872,1.06286,0.01653,0.55519,0.3628,0.20889,1.56236,3.30857,0.99211,0.000182737,0.000182737,0.000182737
5,164.773,1.55464,2.10834,1.01228,0.02076,0.73701,0.39945,0.24571,1.52162,3.13627,0.98468,0.00011789,0.00011789,0.00011789
