epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9764,1.63966,3.64443,1.14566,0.0138,0.71895,0.14338,0.08572,1.45577,3.53872,1.04554,0.00020004,0.00020004,0.00020004
2,93.2045,1.76658,2.65672,1.09161,0.01546,0.80556,0.39916,0.23372,1.50157,3.2833,1.05661,0.000411593,0.000411593,0.000411593
3,700.862,1.73098,1.768,1.0957,0.8341,0.17783,0.60588,0.29851,1.61167,2.74622,1.09447,0.000617782,0.000617782,0.000617782
