epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.949,1.63948,3.76662,1.09765,0.00884,0.3,0.04058,0.0148,1.30174,3.57823,0.97172,8.335e-05,8.335e-05,8.335e-05
2,73.3536,1.48174,3.39114,1.062,0.01141,0.40476,0.09422,0.03311,1.3733,3.52276,0.98213,0.000147063,0.000147063,0.000147063
3,99.8399,1.56492,3.00021,1.07198,0.01419,0.54762,0.14433,0.09626,1.3704,3.44975,0.99261,0.000171168,0.000171168,0.000171168
4,124.565,1.50005,2.58166,1.01792,0.01868,0.71905,0.28815,0.19289,1.34174,3.34772,0.98798,0.000155664,0.000155664,0.000155664
5,138.336,1.62551,2.24908,1.05582,0.01986,0.75238,0.31237,0.22018,1.34194,3.26523,0.98306,0.000100553,0.000100553,0.000100553
